time,temp31,temp180,humi,pressure,altitude,smoke,fire_alarm,,
23:37.7,23.25093462,23.16342924,71.89440757,1016.543071,-27.38,0.14,FALSE,,
23:37.9,23.23491264,23.18735565,71.90051118,1016.591918,-27.79,1.51,FALSE,,
23:38.0,23.23491264,23.17140508,71.90051118,1016.548126,-27.42,1.7,FALSE,,
23:38.2,23.23491264,23.17938055,71.88982986,1016.583122,-27.71,1.68,FALSE,,
23:38.3,23.25093462,23.17938055,71.87304494,1016.52698,-27.25,1.51,FALSE,,
23:38.5,23.23491264,23.19533038,71.88220035,1016.626912,-28.08,0.82,FALSE,,
23:38.6,23.221561,23.17938055,71.85931182,1016.564408,-27.56,0,FALSE,,
23:38.8,23.25093462,23.17140508,71.89440757,1016.548126,-27.42,0,FALSE,,
23:38.9,23.25093462,23.17938055,71.87304494,1016.575637,-27.65,0.11,FALSE,,
23:39.1,23.23491264,23.17938055,71.88982986,1016.530723,-27.28,0.21,FALSE,,
23:39.2,23.26428626,23.17140508,71.8486305,1016.56684,-27.58,1.51,FALSE,,
23:39.4,23.25093462,23.17938055,71.88525216,1016.55318,-27.46,1.74,FALSE,,
23:39.5,23.221561,23.17140508,71.86846723,1016.563097,-27.55,1.65,FALSE,,
23:39.7,23.221561,23.17938055,71.87762264,1016.616808,-27.99,1.44,FALSE,,
23:39.8,23.23491264,23.17140508,71.86236362,1016.533155,-27.3,0.32,FALSE,,
23:40.0,23.25093462,23.17140508,71.86694133,1016.589297,-27.76,0,FALSE,,
23:40.1,23.23491264,23.15545304,71.8440528,1016.504331,-27.06,0.06,FALSE,,
23:40.3,23.20820935,23.16342924,71.86388952,1016.516872,-27.16,0.17,FALSE,,
23:40.5,23.221561,23.15545304,71.83947509,1016.523044,-27.21,0.71,FALSE,,
23:40.6,23.221561,23.15545304,71.8501564,1016.538014,-27.34,1.62,FALSE,,
